"cond","firstR","twoR","threeR","fourR","fiveR","sixR","sevenR","eightR","nineR","tenR","CC1","CC2","CC3","CC4","CC5","CC6","CC7","CC8","CC9","CC10","CC11"
0.247,1,1,0,0,0,0,0,0,0,0,1,2,3,4,3,4,5,4,3,2,1
0.593,1,1,0,0,0,0,0,0,1,1,3,1,1,1,1,1,1,1,1,1,1
0.598,1,1,1,1,1,1,1,1,1,1,3,2,3,2,4,4,2,2,2,2,3
0.726,1,1,1,1,1,1,1,1,1,1,4,2,1,1,4,4,1,1,2,2,3
0.609,1,1,1,1,1,0,1,1,1,0,4,4,4,1,4,5,2,2,4,4,3
0.288,1,1,1,0,0,0,0,0,0,0,5,2,3,2,4,5,2,3,2,2,5
0.649,1,1,1,1,1,1,1,1,1,1,2,5,1,1,5,4,1,3,3,1,2
0.307,1,1,1,1,1,1,0,0,0,0,3,2,2,2,2,5,2,2,2,2,3
0.642,1,1,1,1,1,1,1,1,1,1,4,4,4,1,5,4,1,2,1,4,3
0.353,1,1,0,0,0,0,0,1,1,1,3,2,2,1,4,5,1,2,3,2,4
0.771,1,1,1,1,1,1,1,1,0,1,4,2,3,1,4,4,1,1,2,3,3
0.107,1,1,1,0,1,0,0,1,1,0,2,4,2,1,3,4,1,4,4,4,5
0.070,1,1,1,0,0,0,0,0,0,0,4,4,3,1,4,5,1,4,3,4,5
0.861,1,1,1,1,1,1,1,1,1,1,4,5,4,2,4,5,2,2,1,4,2
0.306,1,0,1,1,0,1,0,0,0,1,3,1,2,1,4,5,1,3,2,4,4
0.117,1,1,0,1,1,1,1,1,1,1,3,3,2,1,4,4,1,3,2,3,3
0.460,1,1,1,1,1,0,0,0,0,1,1,5,1,2,4,4,2,3,2,3,4
0.978,0,0,0,0,0,0,0,0,0,0,1,5,1,1,2,5,1,2,5,1,5
0.690,0,0,0,0,0,0,0,0,0,0,4,3,5,1,4,4,2,2,1,4,3
0.318,1,1,1,0,0,0,0,0,0,0,4,4,4,3,4,5,4,2,1,4,4
0.390,1,1,0,1,1,1,1,1,1,1,4,3,2,1,4,4,1,1,2,3,2
0.799,1,1,1,1,1,1,1,1,1,1,3,4,2,2,3,4,2,2,4,2,4
0.493,1,1,1,1,1,0,0,0,0,0,4,3,4,1,5,5,2,1,1,4,2
0.852,1,1,1,1,1,1,1,1,1,0,3,1,3,2,3,4,3,2,1,3,3
0.184,1,1,1,1,1,1,1,1,1,1,5,1,3,1,2,5,1,1,2,3,3
0.804,1,1,1,1,1,1,1,1,0,0,4,3,3,2,5,4,2,2,1,3,3
0.607,1,1,1,1,1,1,1,1,1,1,3,2,3,1,5,5,1,1,1,5,4
0.079,1,1,1,1,1,1,1,1,1,1,5,1,5,1,5,5,1,1,1,4,3
0.656,1,1,1,1,1,1,0,1,1,1,3,2,5,1,5,5,1,2,1,5,5
0.469,1,0,1,1,1,1,1,0,1,1,3,2,2,1,4,4,2,2,2,4,4
0.294,1,1,1,1,1,1,1,1,1,1,5,3,3,1,4,5,2,2,1,4,3
0.391,1,1,1,1,0,1,1,1,1,1,3,4,2,1,3,5,2,2,3,4,3
0.800,1,1,1,1,1,1,1,1,1,0,2,3,3,1,2,4,1,4,1,1,4
0.923,1,1,1,1,1,1,1,1,1,1,4,3,4,2,5,4,1,2,1,4,4
0.879,1,1,1,1,1,1,1,1,1,1,2,3,1,2,4,4,1,3,2,2,1
0.067,1,1,1,0,0,0,1,1,1,0,2,4,3,3,4,5,2,4,1,2,4
0.706,1,0,0,0,0,0,0,1,0,0,1,2,3,2,4,4,2,3,3,5,3
0.584,0,0,1,1,0,1,1,0,0,0,3,4,3,2,4,4,1,3,4,2,4
0.528,1,1,1,1,0,0,1,1,0,1,3,4,4,5,2,4,1,2,2,4,2
0.076,1,1,0,1,1,0,0,0,0,0,4,2,2,1,3,5,2,1,2,3,4
0.012,1,1,1,1,1,1,1,1,1,1,4,1,5,1,5,4,1,1,2,4,5
0.350,1,1,1,1,1,1,1,1,1,1,4,2,4,2,4,4,1,1,2,4,4
0.863,1,1,1,1,1,1,1,1,1,1,3,3,2,3,3,4,4,5,2,4,5
0.381,0,0,1,0,0,1,0,0,0,0,5,4,3,1,4,5,2,3,3,5,5
0.644,1,1,1,1,1,1,1,1,1,1,5,4,1,1,4,5,1,1,1,3,2
0.685,1,1,1,1,1,1,1,1,1,1,4,3,3,1,5,2,1,4,4,1,3
0.927,1,1,1,1,1,1,1,1,1,1,3,2,3,1,2,4,1,3,2,4,1
0.527,1,1,1,1,1,1,1,1,1,1,5,2,3,1,5,4,1,2,1,3,4
0.509,1,1,1,1,1,1,1,1,1,1,2,2,2,1,3,4,1,1,1,4,4
0.399,1,1,1,1,1,1,1,1,1,1,5,1,5,1,5,5,1,1,1,5,3
0.090,1,1,1,1,0,1,1,1,1,0,5,2,2,1,5,5,1,1,1,3,4
0.347,0,0,0,0,0,0,0,0,0,0,5,4,4,1,3,4,1,3,2,3,4
0.333,0,0,1,1,1,0,0,0,0,0,3,4,3,1,4,4,1,2,2,3,3
0.663,1,1,1,1,1,1,1,1,1,1,5,3,1,1,4,5,1,1,1,3,3
